@relation 'xAPI-Edu-Data-weka.filters.unsupervised.attribute.Remove-R1-8,13,15'

@attribute Relation {Father,Mum}
@attribute raisedhands numeric
@attribute VisITedResources numeric
@attribute AnnouncementsView numeric
@attribute ParentAnsweringSurvey {Yes,No}
@attribute StudentAbsenceDays {Under-7,Above-7}
@attribute Class {M,L,H}

@data
Father,70,99,66,No,Under-7,M
Father,80,97,86,Yes,Under-7,M
Mum,69,34,12,No,Above-7,L
Father,10,17,12,No,Above-7,L
Father,61,97,82,Yes,Above-7,M
Mum,21,27,52,Yes,Above-7,M
Mum,49,94,42,No,Above-7,M
Mum,70,64,42,No,Under-7,M
Mum,79,84,82,No,Under-7,H
Father,19,80,12,Yes,Above-7,M
Father,11,70,32,Yes,Above-7,M
Father,10,8,10,Yes,Above-7,M
Father,18,28,40,Yes,Above-7,M
Mum,90,84,52,No,Under-7,H
Mum,92,81,32,No,Under-7,M
Father,42,21,2,No,Under-7,M
Father,22,20,6,No,Under-7,H
Mum,95,82,82,Yes,Under-7,H
Mum,90,62,80,Yes,Under-7,H
Mum,72,21,22,Yes,Under-7,H
Mum,92,31,42,Yes,Under-7,H
Mum,82,31,52,No,Under-7,M
Mum,72,41,46,No,Under-7,M
Mum,74,71,56,No,Under-7,H
Mum,74,60,56,No,Under-7,H
Mum,95,94,72,No,Under-7,H
Mum,97,87,82,No,Under-7,H
Father,40,38,32,No,Above-7,M
Father,41,39,35,Yes,Above-7,M
Mum,51,79,85,Yes,Under-7,H
Mum,81,79,91,Yes,Under-7,H
Mum,71,70,65,Yes,Under-7,M
Mum,75,71,76,Yes,Under-7,M
Father,49,36,32,No,Above-7,L
Father,42,24,12,No,Above-7,L
Mum,90,86,82,Yes,Under-7,H
Mum,62,64,72,Yes,Under-7,H
Father,90,86,82,Yes,Above-7,M
Father,62,64,72,Yes,Above-7,M
Mum,98,87,86,No,Under-7,H
Mum,72,74,82,No,Under-7,H
Father,18,17,26,No,Above-7,M
Father,32,14,32,No,Above-7,M
Father,10,12,20,No,Above-7,L
Father,22,34,15,No,Above-7,L
Mum,11,20,21,No,Under-7,M
Mum,12,44,25,No,Under-7,M
Father,15,50,24,Yes,Under-7,M
Father,32,44,29,Yes,Under-7,M
Mum,65,59,74,Yes,Under-7,H
Mum,72,64,59,Yes,Under-7,H
Mum,95,57,74,Yes,Above-7,M
Mum,82,84,79,Yes,Above-7,M
Father,25,29,34,No,Above-7,M
Father,42,34,29,No,Above-7,M
Mum,55,79,44,Yes,Under-7,H
Mum,62,64,69,Yes,Under-7,H
Mum,78,88,74,Yes,Under-7,H
Mum,72,84,89,Yes,Under-7,H
Mum,60,92,83,Yes,Under-7,H
Mum,50,90,83,Yes,Under-7,H
Mum,60,97,13,Yes,Under-7,H
Mum,50,95,23,Yes,Under-7,H
Mum,60,87,23,Yes,Above-7,M
Mum,50,80,20,Yes,Above-7,M
Father,10,15,10,No,Above-7,L
Father,30,10,20,No,Above-7,L
Father,24,35,18,No,Under-7,M
Father,27,20,33,No,Under-7,M
Father,10,15,10,No,Above-7,L
Father,30,10,20,No,Above-7,L
Mum,80,77,63,Yes,Under-7,M
Mum,75,85,73,Yes,Under-7,M
Father,40,7,50,No,Above-7,L
Father,35,2,29,No,Above-7,L
Mum,10,90,30,No,Under-7,M
Mum,25,80,29,No,Under-7,M
Mum,10,8,9,No,Above-7,L
Mum,15,7,12,No,Above-7,L
Mum,70,90,20,No,Under-7,M
Mum,75,80,15,No,Under-7,M
Father,78,98,10,No,Under-7,M
Father,79,89,11,No,Under-7,M
Father,16,90,15,No,Under-7,M
Father,17,80,13,No,Under-7,M
Mum,40,87,50,No,Under-7,M
Mum,35,92,29,No,Under-7,M
Mum,14,97,15,No,Under-7,H
Mum,13,82,20,No,Under-7,H
Mum,24,97,15,No,Under-7,H
Mum,23,82,20,No,Under-7,H
Mum,20,3,9,No,Above-7,L
Mum,15,4,12,No,Above-7,L
Mum,5,13,6,No,Above-7,L
Mum,7,9,11,No,Above-7,L
Mum,10,94,40,Yes,Under-7,M
Mum,25,89,21,Yes,Under-7,M
Mum,30,98,42,Yes,Under-7,H
Mum,35,97,41,Yes,Under-7,H
Father,32,88,32,Yes,Under-7,M
Father,25,87,21,Yes,Under-7,M
Mum,72,98,52,Yes,Under-7,H
Mum,75,90,51,Yes,Under-7,H
Father,20,88,31,Yes,Above-7,M
Father,10,98,41,Yes,Above-7,M
Father,90,98,41,Yes,Under-7,H
Father,80,88,51,Yes,Under-7,H
Father,80,95,21,Yes,Under-7,H
Father,78,70,31,Yes,Under-7,H
Father,10,18,71,Yes,Above-7,M
Father,10,58,51,Yes,Above-7,M
Mum,98,88,60,No,Under-7,H
Mum,75,81,51,No,Under-7,H
Father,10,17,50,No,Under-7,M
Father,35,2,29,No,Under-7,M
Father,10,20,22,No,Above-7,L
Father,5,9,19,No,Above-7,L
Father,10,10,40,No,Above-7,L
Father,35,2,29,No,Above-7,L
Mum,20,90,50,Yes,Above-7,M
Mum,32,82,59,Yes,Above-7,M
Father,10,30,50,Yes,Above-7,L
Father,12,22,59,Yes,Above-7,L
Father,11,20,20,No,Above-7,L
Father,10,12,29,No,Above-7,L
Mum,69,82,20,Yes,Under-7,H
Mum,70,83,29,Yes,Under-7,H
Mum,89,92,40,Yes,Under-7,H
Mum,79,93,49,Yes,Under-7,H
Mum,15,90,21,Yes,Under-7,M
Mum,20,77,31,Yes,Under-7,M
Mum,4,10,11,No,Above-7,L
Mum,5,0,1,No,Above-7,L
Mum,88,81,50,Yes,Above-7,M
Mum,90,88,54,Yes,Above-7,M
Mum,86,98,50,Yes,Under-7,H
Mum,90,90,57,Yes,Under-7,H
Mum,78,91,50,Yes,Under-7,H
Mum,70,98,54,Yes,Under-7,H
Father,80,80,46,Yes,Under-7,M
Father,85,82,59,Yes,Under-7,M
Father,88,90,86,Yes,Under-7,H
Father,89,92,89,Yes,Under-7,H
Father,39,71,40,No,Above-7,M
Father,35,80,34,No,Above-7,M
Father,76,81,80,No,Under-7,H
Father,65,89,64,No,Under-7,H
Mum,96,95,70,Yes,Under-7,H
Mum,80,91,87,Yes,Under-7,H
Mum,2,9,10,No,Above-7,L
Mum,3,8,19,No,Above-7,L
Father,50,79,10,No,Under-7,M
Father,53,88,9,No,Under-7,M
Mum,70,89,12,No,Under-7,H
Mum,59,90,19,No,Under-7,H
Father,78,80,66,Yes,Under-7,M
Father,79,72,79,Yes,Under-7,M
Mum,10,9,2,No,Above-7,L
Mum,9,7,9,No,Above-7,L
Father,98,90,86,Yes,Under-7,H
Father,89,92,89,Yes,Under-7,H
Father,88,90,76,Yes,Under-7,H
Father,99,96,89,Yes,Under-7,H
Mum,82,89,22,Yes,Under-7,H
Mum,84,92,29,Yes,Under-7,H
Mum,70,69,46,Yes,Above-7,M
Mum,74,62,49,Yes,Above-7,M
Mum,90,79,76,Yes,Under-7,H
Mum,84,77,79,Yes,Under-7,H
Mum,80,80,62,Yes,Above-7,M
Mum,81,82,69,Yes,Above-7,M
Father,10,0,2,No,Above-7,L
Father,11,2,9,No,Above-7,L
Father,85,89,22,No,Under-7,H
Father,80,89,23,No,Under-7,H
Father,95,87,62,No,Under-7,M
Father,87,79,73,No,Under-7,M
Mum,85,87,72,Yes,Above-7,M
Mum,79,88,79,Yes,Above-7,M
Mum,80,81,71,Yes,Under-7,M
Mum,70,83,70,Yes,Under-7,M
Mum,80,82,76,Yes,Under-7,M
Mum,70,82,75,Yes,Under-7,M
Mum,89,87,86,Yes,Under-7,M
Mum,90,86,85,Yes,Under-7,M
Mum,69,77,76,Yes,Above-7,M
Mum,70,76,65,Yes,Above-7,M
Mum,75,72,64,Yes,Above-7,L
Mum,72,76,66,Yes,Above-7,L
Mum,77,82,74,Yes,Under-7,M
Mum,71,84,67,Yes,Under-7,M
Mum,87,92,74,Yes,Under-7,H
Mum,81,84,77,Yes,Under-7,H
Father,15,97,22,Yes,Under-7,H
Father,19,98,20,Yes,Under-7,H
Father,25,82,52,Yes,Above-7,M
Father,29,78,40,Yes,Above-7,M
Father,45,87,57,Yes,Under-7,M
Father,39,88,43,Yes,Under-7,M
Father,85,90,52,Yes,Under-7,H
Father,79,91,49,Yes,Under-7,H
Father,90,91,80,Yes,Under-7,H
Father,80,90,80,Yes,Under-7,H
Father,80,83,82,Yes,Above-7,M
Father,71,81,83,Yes,Above-7,M
Father,72,87,72,Yes,Above-7,M
Father,69,77,83,Yes,Above-7,M
Mum,85,99,42,Yes,Under-7,H
Mum,89,96,45,Yes,Under-7,H
Mum,80,82,64,Yes,Under-7,H
Mum,87,93,63,Yes,Under-7,H
Father,15,9,14,No,Above-7,L
Father,9,6,15,No,Above-7,L
Father,81,86,86,Yes,Under-7,M
Father,78,82,78,Yes,Under-7,M
Father,80,87,74,Yes,Under-7,M
Father,85,88,79,Yes,Under-7,M
Father,2,7,4,No,Above-7,L
Father,5,4,5,No,Above-7,L
Father,50,77,14,No,Under-7,M
Father,55,74,25,No,Under-7,M
Father,30,17,14,No,Above-7,L
Father,35,14,23,No,Above-7,L
